source,word,action
triage-pass-1,wham,keep
triage-pass-1,whap,ditch
triage-pass-1,wheezing,keep
triage-pass-1,whelk,keep
triage-pass-1,whiffs,keep
triage-pass-1,whim,keep
triage-pass-1,whisk,keep
triage-pass-1,whomp,keep
triage-pass-1,whop,ditch
triage-pass-1,whup,keep
triage-pass-1,wimpy,keep
triage-pass-1,wizardry,keep
triage-pass-1,wonky,keep
triage-pass-1,yappy,keep
triage-pass-1,yawp,ditch
triage-pass-1,yuppy,keep
triage-pass-1,zapping,keep
triage-pass-1,zemstvo,ditch
triage-pass-1,zenith,keep
triage-pass-1,zeroth,ditch
triage-pass-1,zings,keep
triage-pass-1,zipping,keep
triage-pass-1,zither,keep
triage-pass-1,zlotys,ditch
triage-pass-1,zodiac,keep
triage-pass-1,zoned,keep
triage-pass-1,zoomed,keep
triage-pass-1,zucchini,keep
triage-pass-1,crackerjack,keep
triage-pass-1,haphazardly,keep
triage-pass-1,equalizing,keep
triage-pass-1,hybridized,keep
triage-pass-1,hydrolyzes,ditch
triage-pass-1,jeopardize,keep
triage-pass-1,mycorrhiza,ditch
triage-pass-1,sympathize,keep
triage-pass-1,amberjack,ditch
triage-pass-1,applejack,keep
triage-pass-1,breezeway,keep
triage-pass-1,checkbook,keep
triage-pass-1,exemplify,keep
triage-pass-1,hijacking,keep
triage-pass-1,hypnotize,keep
triage-pass-1,jaywalker,keep
triage-pass-1,jockeying,keep
triage-pass-1,objectify,keep
triage-pass-1,oxidizers,keep
triage-pass-1,physiques,keep
triage-pass-1,pipsqueak,keep
triage-pass-1,poppycock,keep
triage-pass-1,quicklime,keep
triage-pass-1,quickstep,keep
triage-pass-1,razorback,keep
triage-pass-1,squawking,keep
triage-pass-1,adequacy,keep
triage-pass-1,asphyxia,keep
triage-pass-1,bazookas,keep
triage-pass-1,bouzouki,ditch
triage-pass-1,flexibly,keep
triage-pass-1,howitzer,keep
triage-pass-1,humpback,keep
triage-pass-1,jackboot,keep
triage-pass-1,jackpots,keep
triage-pass-1,jokingly,keep
triage-pass-1,junkyard,keep
triage-pass-1,kumquats,keep
triage-pass-1,pickaxes,keep
triage-pass-1,quantify,keep
triage-pass-1,quenched,keep
triage-pass-1,quickens,keep
triage-pass-1,quickest,keep
triage-pass-1,quickies,keep
triage-pass-1,schizoid,keep
triage-pass-1,snuffbox,keep
triage-pass-1,vanquish,keep
triage-pass-1,vuvuzela,keep
triage-pass-1,affixes,keep
triage-pass-1,baptize,keep
triage-pass-1,benzoic,ditch
triage-pass-1,boombox,keep
triage-pass-1,boxwood,ditch
triage-pass-1,buyback,keep
triage-pass-1,cacique,ditch
triage-pass-1,capsize,keep
triage-pass-1,checkup,keep
triage-pass-1,chukkas,ditch
triage-pass-1,churchy,keep
